Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/04/2020 10:56,-£35.00,Pre-NtO Full Rate,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/04/2020 11:35,£0.00,Pre-NtO Full Rate,Salmon Street,Piccadilly,Affixed to vehicle,GV Loading Bay,£70.00,23
01/04/2020 12:06,-£35.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
01/04/2020 12:09,-£35.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
01/04/2020 14:54,-£35.00,Pre-NtO Discount,Stocks Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/04/2020 15:35,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
01/04/2020 16:21,-£35.00,Pre-NtO Discount,Sidney Street,Hulme,Affixed to vehicle,Gv Loading Bay,£0.00,23
01/04/2020 18:19,-£70.00,Post NtO,Park Crescent,Rusholme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
02/04/2020 08:39,£0.00,Post NtO,Boond Street,Anc & Besw,Affixed to vehicle,Restricted Area,£70.00,1
02/04/2020 08:40,-£35.00,Pre-NtO Discount,Pollard Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
02/04/2020 08:42,-£35.00,Pre-NtO Discount,Pollard Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
02/04/2020 09:04,-£35.00,Pre-NtO Discount,Sidney Street,Hulme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
02/04/2020 09:12,-£35.00,Pre-NtO Full Rate,Broom Lane,Levenshulme,Affixed to vehicle,Restricted Area,£0.00,1
02/04/2020 09:15,-£35.00,Pre-NtO Discount,Booth Street East,Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
02/04/2020 09:15,-£35.00,Pre-NtO Discount,Booth Street East,Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
02/04/2020 10:44,-£70.00,Post NtO,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
02/04/2020 10:49,-£35.00,Post NtO,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
02/04/2020 12:05,-£35.00,Pre-NtO Discount,Great Marlborough Street,Deansgate,Affixed to vehicle,No Waiting,£0.00,1
02/04/2020 12:27,-£70.00,Post NtO,Hewitt Street,Deansgate,Affixed to vehicle,No Waiting,£0.00,1
02/04/2020 12:32,-£35.00,Pre-NtO Discount,Thomas Street (Cheetham),Cheetham,Affixed to vehicle,Restricted Area,£0.00,23
02/04/2020 13:43,£0.00,Cancelled,Grey Mare Lane,Anc & Besw,Affixed to vehicle,Pedestrian Crossing,£0.00,99
02/04/2020 14:01,-£35.00,Pre-NtO Discount,BALE STREET,Southern Lap,Affixed to vehicle,GV Loading Bay,£0.00,23
02/04/2020 14:29,-£70.00,Post NtO,Stamford Road (Longsight),Longsight,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
02/04/2020 15:03,-£35.00,Pre-NtO Discount,Rusholme Place (Rusholme),Rusholme,Affixed to vehicle,No Loading at Any Time,£0.00,2
02/04/2020 15:08,£0.00,Cancelled,Park Crescent,Rusholme,Spoil,Disabled Persons Parking Place,£0.00,40
02/04/2020 15:53,£0.00,Cancelled,Bootle Street,Deansgate,Spoil,Pay and Display Parking,£0.00,21
02/04/2020 16:47,-£70.00,Post NtO,Egerton Crescent,Withington,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
02/04/2020 17:01,-£35.00,Pre-NtO Discount,St Mary`s Gate,Deansgate,Affixed to vehicle,Taxi Stand,£0.00,45
02/04/2020 17:06,-£35.00,Pre-NtO Discount,Market Street (Deansgate),Deansgate,Affixed to vehicle,Restricted Area,£0.00,23
02/04/2020 17:21,£0.00,Post CC,Manchester Road,Chorlton,Affixed to vehicle,No Waiting At Any Time,£105.00,1
03/04/2020 08:44,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
03/04/2020 08:47,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
03/04/2020 09:01,-£35.00,Pre-NtO Discount,Dantzic Street (Cheetham),Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/04/2020 09:21,-£35.00,Pre-NtO Discount,Denmark Road,Ardwick,Affixed to vehicle,Restricted Area,£0.00,23
03/04/2020 09:51,-£105.00,Post CC,Ellesmere Road,Chorlton,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
03/04/2020 10:16,-£35.00,Pre-NtO Full Rate,Hathersage Road,Ardwick,Affixed to vehicle,No Loading,£0.00,2
03/04/2020 10:19,£0.00,Pre-NtO Full Rate,Hathersage Road,Ardwick,Affixed to vehicle,No Loading,£70.00,2
03/04/2020 11:11,£0.00,Cancelled,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£0.00,1
03/04/2020 12:43,-£35.00,Pre-NtO Discount,INCHLEY ROAD,Ardwick,Affixed to vehicle,No Loading At Any Time,£0.00,2
03/04/2020 16:14,-£35.00,Pre-NtO Discount,Booth Street East,Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
03/04/2020 16:51,-£35.00,Pre-NtO Discount,Lower Chatham Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
04/04/2020 08:44,-£35.00,Pre-NtO Discount,Murray Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
04/04/2020 08:56,-£35.00,Pre-NtO Discount,Hood Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
04/04/2020 09:10,-£35.00,Pre-NtO Full Rate,Loom Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
04/04/2020 11:33,-£105.00,Post CC,Broadfield Road (Moss Side),Moss Side,Affixed to vehicle,Restricted Area,£0.00,1
04/04/2020 12:18,-£35.00,Pre-NtO Discount,Moss Lane East (Rusholme),Moss Side,Affixed to vehicle,Restricted Street,£0.00,1
04/04/2020 12:18,-£35.00,Pre-NtO Discount,Moss Lane East (Rusholme),Moss Side,Affixed to vehicle,Restricted Street,£0.00,1
04/04/2020 14:03,£0.00,Post CC,Joiner Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£105.00,1
04/04/2020 14:08,-£70.00,Pre-NtO Discount,Union Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
05/04/2020 10:18,£0.00,Post CC,Ashton Old Road (Clayton & Openshaw),Clayt & Open,Affixed to vehicle,Restricted Area,£105.00,47
05/04/2020 11:19,-£105.00,Post CC,Furness Road,Fallowfield,Affixed to vehicle,No Waiting At Any Time,£0.00,1
05/04/2020 12:28,-£35.00,Pre-NtO Discount,Stocks Street East,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
05/04/2020 12:29,£0.00,Post CC,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£105.00,27
05/04/2020 12:49,£0.00,Cancelled,Spear Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
05/04/2020 13:53,-£105.00,Post CC,Princess Street (Deansgate : ZONEB),Deansgate,Postal - Prevented From Serving,Restricted Area,£0.00,2
06/04/2020 08:08,-£70.00,Post NtO,LINNET CLOSE,Ardwick,Affixed to vehicle,No Waiting,£0.00,1
06/04/2020 08:36,£0.00,Post CC,BRICK STREET,NorthQuarter,Affixed to vehicle,Disabled Persons Parking Place,£105.00,40
06/04/2020 08:37,-£70.00,Pre-NtO Discount,BRICK STREET,NorthQuarter,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
06/04/2020 08:50,£0.00,Post CC,Joiner Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£105.00,1
06/04/2020 09:00,-£35.00,Pre-NtO Discount,Shentonfield Road,Sharston,Affixed to vehicle,Restricted Area,£0.00,1
06/04/2020 09:32,£0.00,Cancelled,Gartside Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
06/04/2020 14:00,-£35.00,Pre-NtO Discount,York Street (City Centre),Deansgate,Affixed to vehicle,Restricted Area,£0.00,40
06/04/2020 16:46,-£35.00,Pre-NtO Discount,Wilbraham Road (Chorlton),Chorlton,Handed To Driver,School Entrance Marking,£0.00,99
06/04/2020 18:14,£0.00,Post CC,Ellesmere Street,Hulme,Handed To Driver,No Waiting At Any Time,£105.00,1
07/04/2020 09:29,-£35.00,Pre-NtO Discount,Portway,Woodh Park,Affixed to vehicle,Bus Stop,£0.00,47
07/04/2020 10:41,-£35.00,Pre-NtO Discount,Wilmslow Road (DidsburyWest),DidsburyWest,Affixed to vehicle,GV Loading Bay,£0.00,23
07/04/2020 11:02,-£70.00,Post NtO,Old Moat Lane,Old Moat,Affixed to vehicle,No Waiting At Any Time,£0.00,1
07/04/2020 11:29,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
07/04/2020 11:30,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
07/04/2020 12:46,-£35.00,Pre-NtO Discount,Boundary Lane,Hulme,Affixed to vehicle,Pedestrian Crossing,£0.00,99
07/04/2020 14:04,-£35.00,Pre-NtO Discount,High Street (City Centre),Piccadilly,Affixed to vehicle,Taxi Stand,£0.00,45
07/04/2020 17:20,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading at Any Time,£0.00,2
08/04/2020 08:53,-£35.00,Pre-NtO Discount,Brookfield Road,Crumpsall,Affixed to vehicle,No Waiting At Any Time,£0.00,1
08/04/2020 11:22,-£35.00,Pre-NtO Discount,King Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
08/04/2020 11:53,-£35.00,Pre-NtO Discount,Grosvenor Street,Ardwick,Affixed to vehicle,GV Loading Bay,£0.00,23
08/04/2020 12:20,-£35.00,Pre-NtO Discount,Woodlands Street (Cheetham),Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
08/04/2020 12:22,-£35.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,No Waiting,£0.00,1
08/04/2020 14:32,-£35.00,Pre-NtO Discount,Boond Street,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,1
08/04/2020 14:33,£0.00,Post CC,Boond Street,Anc & Besw,Affixed to vehicle,Restricted Area,£105.00,1
08/04/2020 16:23,-£35.00,Pre-NtO Discount,Market Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,40
08/04/2020 16:56,-£35.00,Pre-NtO Discount,Wilmslow Road (DidsburyEast),DidsburyEast,Affixed to vehicle,Bus stop clearway,£0.00,47
09/04/2020 09:37,-£70.00,Pre-NtO Full Rate,Sedgley Road,Crumpsall,Affixed to vehicle,Restricted Area,£0.00,1
09/04/2020 10:52,-£35.00,Pre-NtO Discount,Albyns Avenue,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
09/04/2020 12:34,-£35.00,Pre-NtO Discount,Oxney Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,27
09/04/2020 12:42,£0.00,Post CC,Park Crescent,Rusholme,Handed To Driver,Disabled Persons Parking Place,£105.00,40
09/04/2020 14:42,-£70.00,Pre-NtO Discount,FEDERATION STREET,NorthQuarter,Affixed to vehicle,No Waiting At Any Time,£0.00,27
09/04/2020 15:20,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
11/04/2020 08:44,-£35.00,Pre-NtO Discount,George Leigh Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
