Issued At,Paid,Location,Ward,Ticket Destination,Zone Name,OS Bal,Cont
04/04/2022 16:17,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
04/04/2022 16:46,£25.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
04/04/2022 16:47,£25.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
04/04/2022 16:59,£25.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
04/04/2022 17:37,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 07:35,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 07:44,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 07:51,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 08:27,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 08:51,£25.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 09:38,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 16:09,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 16:25,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 16:32,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 16:35,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 16:47,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 16:48,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 16:49,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 17:19,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 17:36,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 17:39,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 17:44,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 18:07,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
05/04/2022 18:19,£25.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
06/04/2022 09:13,£0.00,Stockport Road (Devonshire Street to Linnet Close),Longsight,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
06/04/2022 18:08,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
07/04/2022 07:07,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
07/04/2022 07:18,£0.00,Oldham Road (Grimshaw Lane to New Street),Newton Heath,POST,CREATENEWPCNEXTENDED,Bus Lane,34J
