Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/08/2020  00:00,-£35.00,Pre-NtO Discount,Oxney Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/08/2020  00:01,-£35.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/08/2020  00:01,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:02,-£35.00,Pre-NtO Discount,Oxney Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/08/2020  00:03,-£35.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/08/2020  00:04,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:05,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:06,-£35.00,Pre-NtO Discount,Rusholme Place (Rusholme),Rusholme,Affixed to vehicle,No Loading at Any Time,£0.00,2
01/08/2020  00:07,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:09,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:10,-£35.00,Pre-NtO Discount,Oxford Street,Deansgate,Handed To Driver,No Waiting At Any Time,£0.00,1
01/08/2020  00:12,£0.00,Post CC,Banff Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£105.00,1
01/08/2020  00:14,£0.00,NoDR,Park Crescent,Rusholme,Affixed to vehicle,No Waiting At Any Time,£113.00,1
01/08/2020  00:14,£0.00,Pre-NtO Full Rate,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:19,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:22,-£70.00,Post NtO,Walmer Street East,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/08/2020  00:22,-£35.00,Pre-NtO Discount,Walmer Street (Moss Side),Moss Side,Affixed to vehicle,Restricted Area,£0.00,1
01/08/2020  00:24,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:25,-£98.00,NoDR,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:25,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/08/2020  00:25,-£70.00,Post NtO,Walmer Street (Moss Side),Moss Side,Affixed to vehicle,Restricted Area,£0.00,1
01/08/2020  00:25,-£70.00,Post NtO,Park Crescent,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/08/2020  00:29,-£35.00,Post CC,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,Bus stop clearway,£0.00,47
01/08/2020  00:30,£0.00,NoDR,Crescent Range,Rusholme,Affixed to vehicle,No Waiting At Any Time,£113.00,1
01/08/2020  00:37,-£35.00,Pre-NtO Discount,Park Crescent,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
