Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/12/2020  00:35,-œ30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  01:00,œ0.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  01:19,-œ30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  05:50,œ0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  06:29,œ0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  06:35,-œ30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  06:50,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:03,œ0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  07:06,œ0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:10,œ0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  07:12,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:20,œ0.00,Post NtO,Greenheys Lane (West Of Charles Halle Road),Hulme,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  07:22,œ0.00,Pre-NtO Full Rate,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,œ0.00,34
01/12/2020  07:24,-œ30.00,Post NtO,Oldham Road (Lowcross Road to Ten Acres Lane),Newton Heath,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:24,-œ30.00,Post NtO,Oldham Road (Lowcross Road to Ten Acres Lane),Newton Heath,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:24,-œ30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:45,-œ30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:48,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  07:49,-œ35.00,Pre-NtO Discount,Upper Lloyd Street,Moss Side,Affixed to vehicle,No Loading,œ0.00,2
01/12/2020  07:50,-œ35.00,Pre-NtO Discount,Greengage,Ardwick,Affixed to vehicle,Restricted Area,œ0.00,1
01/12/2020  07:51,-œ70.00,Pre-NtO Full Rate,Upper Lloyd Street,Moss Side,Handed To Driver,No Loading,œ0.00,2
01/12/2020  07:59,œ0.00,Pre-NtO Full Rate,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/12/2020  08:06,-œ35.00,Pre-NtO Discount,Tatton Street,Hulme,Affixed to vehicle,Restricted Area,œ0.00,1
01/12/2020  08:06,-œ30.00,Post NtO,Ashton Old Road (Turton Street to Fairfield Road),MP&NH,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  08:13,œ0.00,Pre-NtO Full Rate,Wilbraham Road (WhalleyRange),WhalleyRange,Posted,School Entrance Marking,œ70.00,48
01/12/2020  08:15,œ0.00,Pre-NtO Full Rate,Wilbraham Road (WhalleyRange),WhalleyRange,Posted,School Entrance Marking,œ70.00,48
01/12/2020  08:17,œ0.00,Pre-NtO Full Rate,Hulme Street (City Centre : ZONEC),Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/12/2020  08:19,-œ35.00,Post NtO,Wilbraham Road (WhalleyRange),WhalleyRange,Postal-vehicle drive away,No Loading at Any Time,œ0.00,2
01/12/2020  08:20,-œ35.00,Pre-NtO Discount,Blossom Street,Anc & Besw,Affixed to vehicle,No Waiting,œ0.00,1
01/12/2020  08:21,œ0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ30.00,34
01/12/2020  08:22,-œ25.00,Pre-NtO Discount,Hilton Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  08:23,-œ35.00,Pre-NtO Discount,Nicholas Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,œ0.00,40
01/12/2020  08:25,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  08:25,-œ30.00,Post NtO,Ashton Old Road (Turton Street to Fairfield Road),MP&NH,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  08:26,œ0.00,Pre-NtO Full Rate,Wilbraham Road (WhalleyRange),WhalleyRange,Posted,School Entrance Marking,œ70.00,48
01/12/2020  08:26,œ0.00,Cancelled,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  08:29,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  08:29,-œ35.00,Post NtO,Eaton Road,Crumpsall,CCTV Issue,School Entrance Marking,œ0.00,48
