Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/02/2021 00:05,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2021 02:57,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 04:00,£0.00,Pre-NtO Full Rate,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/02/2021 05:40,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 05:45,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34
01/02/2021 06:23,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2021 06:25,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2021 06:48,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:06,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/02/2021 07:07,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:11,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:20,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:28,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:33,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:41,-£30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:51,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 07:55,£0.00,Pre-NtO Full Rate,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:04,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/02/2021 08:10,-£35.00,Pre-NtO Discount,Pollard Street,Anc & Besw,Affixed to vehicle,No Loading,£0.00,2
01/02/2021 08:12,£0.00,Pre-NtO Full Rate,Samuel Ogden Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2021 08:12,-£140.00,Pre-NtO Discount,SNELL STREET,(None),Affixed to vehicle,No Waiting,£0.00,1
01/02/2021 08:14,-£25.00,Pre-NtO Discount,Redhill Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2021 08:16,-£35.00,Pre-NtO Discount,SNELL STREET,(None),Affixed to vehicle,No Waiting,£0.00,1
01/02/2021 08:16,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:18,£0.00,Pre-NtO Full Rate,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/02/2021 08:18,-£25.00,Pre-NtO Full Rate,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2021 08:18,-£25.00,Pre-NtO Discount,BLACKSTOCK STREET,Ardwick,Handed To Driver,Pay and Display Parking,£0.00,6
01/02/2021 08:18,-£35.00,Pre-NtO Discount,SNELL STREET,(None),Affixed to vehicle,No Waiting,£0.00,1
01/02/2021 08:19,-£25.00,Pre-NtO Discount,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2021 08:19,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:24,-£25.00,Pre-NtO Discount,Phoenix Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,24
01/02/2021 08:24,-£25.00,Pre-NtO Discount,Carmoor Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2021 08:24,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:25,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:27,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:29,-£25.00,Pre-NtO Discount,Cornell Street (Anc&Bes),Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,6
01/02/2021 08:30,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/02/2021 08:31,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:33,-£25.00,Pre-NtO Discount,Kennedy Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2021 08:34,-£35.00,Pre-NtO Discount,Hathersage Road,Ardwick,Affixed to vehicle,No Waiting,£0.00,1
01/02/2021 08:35,-£35.00,Pre-NtO Discount,DURANT STREET,Central,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2021 08:35,£0.00,Pre-NtO Full Rate,Melbourne Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1
01/02/2021 08:36,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:37,-£25.00,Pre-NtO Discount,Hilton Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2021 08:37,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:38,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/02/2021 08:39,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2021 08:40,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2021 08:41,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
