Issued At,Paid,Location,Ward,Ticket Destination,Zone Name,OS Bal,Cont.
01/02/2022 02:38,£0.00,Oxford Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
01/02/2022 02:56,£35.00,Oxford Street,Deansgate,Affixed to vehicle,Taxi Stand,£0.00,45
01/02/2022 03:43,£35.00,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 07:56,£0.00,BLOOM STREET CAR PARK,Piccadilly,Affixed to vehicle,Car Park,£0.00,73
01/02/2022 07:57,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 07:58,£25.00,BLOOM STREET CAR PARK,Piccadilly,Affixed to vehicle,Car Park,£0.00,82
01/02/2022 08:02,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 08:06,£35.00,Upper Medlock Street,Hulme,Affixed to vehicle,Residents Parking,£0.00,12
01/02/2022 08:10,£0.00,Park Street,Cheetham,Affixed to vehicle,No Waiting,£70.00,1
01/02/2022 08:11,£0.00,Brown Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 08:14,£0.00,Rosamond Street West,Hulme,Affixed to vehicle,No Waiting,£70.00,1
01/02/2022 08:15,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 08:17,£0.00,Southgate (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:19,£25.00,Bloom Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:19,£35.00,Boundary Lane,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 08:22,£0.00,Hathersage Road,HATHROAD,Affixed to vehicle,No Waiting,£70.00,1
01/02/2022 08:23,£25.00,Southgate (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,24
01/02/2022 08:24,£0.00,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 08:25,£25.00,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:25,£25.00,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:26,£25.00,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:27,£35.00,Burlington Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 08:29,£0.00,Museum Street,City Centre,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 08:30,£25.00,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:31,£50.00,Sackville Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:33,£35.00,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 08:34,£0.00,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 08:34,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 08:39,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/02/2022 08:41,£25.00,Mayes Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:42,£0.00,New Wakefield Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 08:44,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/02/2022 08:44,£0.00,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 08:49,£50.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 08:53,£25.00,George Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:54,£0.00,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 08:54,£25.00,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,73
01/02/2022 08:55,£0.00,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,Disabled Persons Parking Place,£70.00,40
01/02/2022 08:56,£25.00,George Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:56,£25.00,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 08:57,£25.00,Cambridge Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 09:05,£0.00,Cambridge Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 09:07,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 09:10,£35.00,Keppel Road,Chorlton,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 09:15,£0.00,Ebden Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 09:15,£25.00,Angel Street,Piccadilly,Affixed to vehicle,Pay And Display Parking,£0.00,6
01/02/2022 09:17,£25.00,Lloyd Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 09:19,£25.00,Whitworth Street West (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 09:19,£35.00,Nicolas Road,Chorlton,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 09:21,£35.00,Heald Grove (Rusholme),Moss Side,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 09:25,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 09:29,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 09:33,£25.00,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,Car Park,£0.00,82
01/02/2022 09:34,£0.00,School Lane (South Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,73
01/02/2022 09:35,£25.00,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 09:42,£0.00,New Elm Road,Deansgate,Affixed to vehicle,No Waiting,£70.00,1
01/02/2022 09:43,£0.00,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,73
01/02/2022 09:43,£35.00,Birchall Way,Hulme,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 09:43,£25.00,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,24
01/02/2022 09:45,£35.00,Birchall Way,Hulme,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 09:45,£25.00,Great John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 09:45,£25.00,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,Car Park,£0.00,73
01/02/2022 09:47,£25.00,Phoenix Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,24
01/02/2022 09:47,£0.00,Birchall Way,Hulme,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 09:48,£0.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£70.00,87
01/02/2022 09:52,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 09:52,£0.00,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 09:54,£25.00,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 09:58,£25.00,Glenbarry Close,Ardwick,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 09:59,£35.00,Harrison Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 10:03,£25.00,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:04,£25.00,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:04,£0.00,Tatton Grove,Withington,Affixed to vehicle,Parking Place,£70.00,12
01/02/2022 10:08,£0.00,HIGHER ORMOND STREET,Ardwick,Affixed to vehicle,No Loading At Any Time,£70.00,2
01/02/2022 10:09,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:09,£35.00,Hunmanby Avenue  (hulme H4),HULME,Affixed to vehicle,Resident Parking Zone,£0.00,12
01/02/2022 10:13,£0.00,Marsden Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 10:13,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:14,£25.00,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:15,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:16,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:16,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:16,£35.00,Rockdove Avenue  (hulme H4),HULME,Affixed to vehicle,Restricted Area,£0.00,12
01/02/2022 10:19,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:19,£35.00,Crossway,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 10:20,£70.00,Ledburn Close,(None),Affixed to vehicle,Restricted Area,£0.00,12
01/02/2022 10:21,£35.00,Tonge Street,Ardwick,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 10:21,£0.00,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:24,£25.00,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 10:24,£0.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:24,£35.00,Ledburn Close,(None),Affixed to vehicle,Restricted Area,£0.00,12
01/02/2022 10:25,£0.00,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:26,£35.00,Turner Street (City Centre),City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,21
01/02/2022 10:27,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:28,£25.00,Park Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 10:28,£0.00,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,73
01/02/2022 10:30,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:30,£0.00,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5
01/02/2022 10:31,£0.00,Park Street,Cheetham,Affixed to vehicle,Limited Waiting,£50.00,30
01/02/2022 10:31,£25.00,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:31,£0.00,Park Street,Cheetham,Affixed to vehicle,Limited Waiting,£50.00,30
01/02/2022 10:31,£35.00,Gould Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 10:34,£0.00,Gould Street,Piccadilly,Affixed to vehicle,Restricted Area,£70.00,1
01/02/2022 10:35,£35.00,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 10:35,£25.00,Chapeltown Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,5
01/02/2022 10:35,£0.00,Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5
01/02/2022 10:36,£25.00,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:37,£0.00,Gould Street,Piccadilly,Affixed to vehicle,Restricted Area,£70.00,1
01/02/2022 10:38,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/02/2022 10:39,£0.00,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£70.00,1
01/02/2022 10:40,£35.00,Gould Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 10:43,£0.00,Radium Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 10:44,£25.00,Kennedy Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:44,£50.00,Great Bridgewater Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:48,£0.00,Mount Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:49,£0.00,Angela Street,(None),Affixed to vehicle,Restricted Area,£70.00,12
01/02/2022 10:50,£0.00,Dantzic Street (Cheetham),Cheetham,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 10:52,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:52,£25.00,Carnarvon Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 10:53,£0.00,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£35.00,23
01/02/2022 10:53,£25.00,Carnarvon Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 10:53,£35.00,Angela Street,(None),Affixed to vehicle,Restricted Area,£0.00,12
01/02/2022 10:53,£25.00,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 10:54,£70.00,Oxney Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 10:55,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
01/02/2022 10:56,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 10:57,£35.00,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£0.00,23
01/02/2022 10:57,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/02/2022 10:57,£50.00,Carnarvon Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 10:59,£50.00,Copperas Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
