Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/01/2021 08:20,-œ35.00,Pre-NtO Discount,Skerry Close,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 10:29,-œ35.00,Pre-NtO Discount,Water Street,(None),Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 10:32,œ0.00,Pre-NtO Full Rate,Water Street,(None),Affixed to vehicle,Restricted Area,œ70.00,1
01/01/2021 10:33,-œ35.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 10:37,-œ35.00,Pre-NtO Discount,Water Street,(None),Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 10:40,-œ35.00,Pre-NtO Discount,Water Street,(None),Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 10:42,-œ35.00,Pre-NtO Discount,Water Street,(None),Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 10:48,œ0.00,Pre-NtO Full Rate,Water Street,(None),Affixed to vehicle,Restricted Area,œ70.00,1
01/01/2021 10:53,-œ35.00,Pre-NtO Discount,Bellott Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 10:59,-œ35.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 11:01,œ0.00,Pre-NtO Full Rate,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,Disabled Persons Parking Place,œ70.00,40
01/01/2021 11:02,-œ35.00,Pre-NtO Discount,Springbridge Road,WhalleyRange,Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 11:09,œ0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Taxi Clearway,œ70.00,45
01/01/2021 11:23,-œ35.00,Pre-NtO Discount,Denmark Road,Ardwick,Affixed to vehicle,Restricted Area,œ0.00,40
01/01/2021 11:24,-œ35.00,Pre-NtO Discount,St Ann Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,œ0.00,40
01/01/2021 11:26,œ0.00,Pre-NtO Full Rate,Great Western Street (Rusholme),Moss Side,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/01/2021 11:45,-œ35.00,Pre-NtO Discount,Eva Street,Moss Side,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 11:52,-œ35.00,Pre-NtO Discount,Hathersage Road,Ardwick,Affixed to vehicle,No Loading,œ0.00,2
01/01/2021 12:10,œ0.00,Post NtO,New York Street,Deansgate,Postal-vehicle drive away,GV Loading Bay,œ70.00,23
01/01/2021 12:20,-œ35.00,Pre-NtO Discount,Bank Street (Clay&Op),Clayt & Open,Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 12:27,-œ35.00,Pre-NtO Discount,Fairclough Street,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 12:39,-œ35.00,Pre-NtO Discount,Barton Square,Deansgate,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 12:44,-œ35.00,Pre-NtO Discount,Hathersage Road,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ0.00,2
01/01/2021 12:59,œ0.00,Pre-NtO Full Rate,CARILL GROVE EAST,Levenshulme,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/01/2021 13:03,-œ35.00,Pre-NtO Discount,Fernclough Road,Harpurhey,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 13:08,œ0.00,Pre-NtO Full Rate,Marley Road,Levenshulme,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/01/2021 13:16,-œ35.00,Pre-NtO Discount,Pym Street,Moston,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 13:46,-œ35.00,Pre-NtO Discount,Celia Street,Crumpsall,Affixed to vehicle,Restricted Area,œ0.00,27
01/01/2021 14:02,œ0.00,Pre-NtO Full Rate,Hathersage Road,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/01/2021 14:09,-œ35.00,Pre-NtO Discount,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 14:33,-œ35.00,Pre-NtO Discount,Albyns Avenue,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 14:35,-œ35.00,Post NtO,Albyns Avenue,Cheetham,Postal-vehicle drive away,No Waiting At Any Time,œ0.00,1
01/01/2021 14:36,-œ35.00,Pre-NtO Discount,Albyns Avenue,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 14:47,œ0.00,Pre-NtO Full Rate,St Ann Street,Deansgate,Affixed to vehicle,GV Loading Bay,œ70.00,23
01/01/2021 14:59,-œ35.00,Pre-NtO Discount,High Street (City Centre),Piccadilly,Affixed to vehicle,Disabled Persons Parking Place,œ0.00,40
01/01/2021 15:34,-œ35.00,Pre-NtO Discount,Clarendon Road,WhalleyRange,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 15:39,-œ35.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,œ0.00,23
01/01/2021 15:49,-œ35.00,Pre-NtO Discount,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 15:53,-œ35.00,Pre-NtO Discount,Great Bridgewater Street,Deansgate,Affixed to vehicle,Restricted Area,œ0.00,25
01/01/2021 15:59,-œ35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Handed To Driver,No Waiting,œ0.00,1
01/01/2021 16:41,-œ35.00,Post NtO,Wilmslow Road (DidsburyEast),DidsburyEast,Postal-vehicle drive away,No Loading at Any Time,œ0.00,2
01/01/2021 16:41,œ0.00,Pre-NtO Full Rate,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/01/2021 16:59,-œ35.00,Pre-NtO Discount,Park Crescent,Rusholme,Handed To Driver,No Waiting At Any Time,œ0.00,1
01/01/2021 17:04,œ0.00,Pre-NtO Full Rate,Park Crescent,Rusholme,Affixed to vehicle,Disabled Persons Parking Place,œ70.00,40
01/01/2021 17:07,œ0.00,Pre-NtO Full Rate,Park Crescent,Rusholme,Affixed to vehicle,Disabled Persons Parking Place,œ70.00,40
01/01/2021 17:08,-œ35.00,Pre-NtO Discount,Hardman Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 17:57,-œ35.00,Pre-NtO Discount,Henry Street,Anc & Besw,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 18:11,-œ35.00,Pre-NtO Discount,Great Ancoats Street (City Centre),Piccadilly,Affixed to vehicle,Restricted Area,œ0.00,1
01/01/2021 18:11,œ0.00,Pre-NtO Full Rate,Little Ancoats Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/01/2021 18:43,œ0.00,Pre-NtO Full Rate,Carmoor Road,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/01/2021 18:55,-œ35.00,Pre-NtO Discount,Dagenham Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/01/2021 19:43,œ0.00,Pre-NtO Full Rate,East Road,Longsight,Affixed to vehicle,Restricted Area,œ70.00,27
01/01/2021 22:37,œ0.00,Pre-NtO Full Rate,Park Grove,Longsight,Affixed to vehicle,Restricted Area,œ70.00,1
01/01/2021 22:51,œ0.00,Pre-NtO Full Rate,Dickenson Road,Longsight,Affixed to vehicle,Restricted Area,œ70.00,1
01/01/2021 22:51,-œ35.00,Pre-NtO Discount,Dickenson Road,Longsight,Affixed to vehicle,Restricted Area,œ0.00,1
02/01/2021 00:08,œ0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ30.00,34
02/01/2021 00:21,-œ30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 07:06,-œ35.00,Pre-NtO Discount,Water Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
02/01/2021 07:29,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 07:48,-œ35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
02/01/2021 07:50,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 07:57,œ0.00,Pre-NtO Full Rate,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
02/01/2021 08:04,-œ35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,œ0.00,1
02/01/2021 08:09,œ0.00,Pre-NtO Full Rate,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,œ70.00,1
02/01/2021 08:10,-œ50.00,Pre-NtO Full Rate,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
02/01/2021 08:10,-œ35.00,Pre-NtO Discount,Cross Keys Street,Piccadilly,Affixed to vehicle,No Waiting,œ0.00,1
02/01/2021 08:11,œ0.00,Pre-NtO Full Rate,Portland Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,œ50.00,6
02/01/2021 08:12,œ0.00,Pre-NtO Full Rate,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 08:13,-œ25.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,5
02/01/2021 08:16,-œ25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
02/01/2021 08:18,-œ50.00,Pre-NtO Full Rate,Ducie Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,5
02/01/2021 08:22,-œ35.00,Pre-NtO Discount,DURANT STREET,Central,Affixed to vehicle,Restricted Area,œ0.00,1
02/01/2021 08:23,-œ35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading,œ0.00,2
02/01/2021 08:23,œ0.00,Pre-NtO Full Rate,Hallworth Road,Crumpsall,Affixed to vehicle,Restricted Area,œ70.00,1
02/01/2021 08:24,-œ25.00,Pre-NtO Discount,John Dalton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 08:28,œ0.00,Pre-NtO Full Rate,Marble Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 08:30,-œ35.00,Pre-NtO Discount,Opal Street,Levenshulme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
02/01/2021 08:30,-œ25.00,Pre-NtO Discount,Dale Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 08:33,-œ25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
02/01/2021 08:39,œ0.00,Pre-NtO Full Rate,Dale Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 08:40,-œ30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 08:41,œ0.00,Pre-NtO Full Rate,Turner Street (City Centre),City Centre,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 08:43,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 08:44,œ0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 08:46,œ0.00,Pre-NtO Full Rate,Elmgate Grove,Burnage,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
02/01/2021 08:48,-œ25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 08:49,œ0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ30.00,34
02/01/2021 08:49,-œ25.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 08:52,-œ30.00,Post NtO,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,œ0.00,34
02/01/2021 08:57,-œ25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 08:57,œ0.00,Pre-NtO Full Rate,Cheetham Hill Road (Cheetham),Cheetham,Affixed to vehicle,No Waiting,œ70.00,1
02/01/2021 08:57,œ0.00,Pre-NtO Full Rate,Cheetham Hill Road (Cheetham),Cheetham,Affixed to vehicle,No Waiting,œ70.00,26
02/01/2021 08:57,-œ25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
02/01/2021 08:59,œ0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ60.00,34
02/01/2021 08:59,-œ25.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 09:00,œ0.00,Pre-NtO Full Rate,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 09:04,-œ25.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 09:06,-œ25.00,Pre-NtO Discount,Harter Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,5
02/01/2021 09:08,œ0.00,Pre-NtO Full Rate,Harter Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 09:10,-œ35.00,Pre-NtO Discount,Beaufort Avenue,DidsburyWest,Affixed to vehicle,No Waiting,œ0.00,1
02/01/2021 09:10,-œ25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 09:11,-œ25.00,Pre-NtO Discount,Harter Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 09:13,œ0.00,Pre-NtO Full Rate,GARWOOD STREET,Southern Lap,Affixed to vehicle,Pay And Display Parking,œ50.00,6
02/01/2021 09:15,-œ30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 09:17,-œ35.00,Post NtO,Cheetham Hill Road,Cheetham,Postal-vehicle drive away,Restricted Area,œ0.00,1
02/01/2021 09:18,-œ25.00,Pre-NtO Discount,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
02/01/2021 09:26,-œ30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 09:30,œ0.00,Pre-NtO Full Rate,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
02/01/2021 09:31,-œ30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 09:32,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 09:33,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 09:33,-œ30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
02/01/2021 09:38,-œ35.00,Pre-NtO Discount,Rowlandsway (WoodhsePark),Woodh Park,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
