Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
01/03/2020  00:11: ,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,No Loading at Any Time,£70.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/03/2020  00:12: ,£0.00,Pre-NtO Discount,King Street West,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£35.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/03/2020  00:28: ,-£35.00,Post NtO,Peter Street,Deansgate,Postal-vehicle drive away,Pay and Display Parking,£0.00,21,Parked in a suspended bay/space or part of bay/space 
01/03/2020  00:29: ,£0.00,Pre-NtO Full Rate,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  00:32: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  00:33: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  00:35: ,-£60.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  00:37: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  00:38: ,£0.00,Pre-NtO Full Rate,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  00:39: ,-£35.00,Pre-NtO Discount,Lockton Close,Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  00:40: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  00:42: ,£0.00,Pre-NtO Full Rate,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  00:43: ,£0.00,Pre-NtO Full Rate,George Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£70.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/03/2020  00:49: ,£0.00,Pre-NtO Full Rate,Oldham Street (City Centre),Piccadilly,Affixed to vehicle,Taxi Stand,£70.00,45,Parked on a taxi rank  
01/03/2020  00:50: ,£0.00,Cancelled,Oldham Street (City Centre),Piccadilly,Postal-vehicle drive away,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/03/2020  00:52: ,£0.00,Pre-NtO Full Rate,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  00:57: ,£0.00,Pre-NtO Full Rate,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  01:00: ,-£35.00,Pre-NtO Discount,LONGWORTH STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
