Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/05/2020 08:32,-£35.00,Pre-NtO Discount,Booth Street East,Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
01/05/2020 09:52,-£35.00,Pre-NtO Full Rate,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 09:54,-£35.00,Pre-NtO Discount,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 10:05,-£35.00,Pre-NtO Discount,Chester Road (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 10:26,-£35.00,Pre-NtO Discount,Lloyd Street North (Hulme),Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 10:51,-£70.00,Pre-NtO Full Rate,Barlow Moor Road,DidsburyWest,Affixed to vehicle,Restricted Area,£0.00,1
01/05/2020 10:57,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Handed To Driver,No Loading at Any Time,£0.00,2
01/05/2020 11:01,£0.00,Post CC,Tib Street (City Centre),Piccadilly,Affixed to vehicle,No Loading at Any Time,£105.00,2
01/05/2020 11:01,-£35.00,Pre-NtO Discount,Lingard Road,Northenden,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 11:04,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,No Loading at Any Time,£0.00,2
01/05/2020 11:08,£0.00,Post NtO,King Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£70.00,40
01/05/2020 11:10,-£70.00,Post NtO,BRIDGEWATER PLACE,NorthQuarter,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 11:16,-£35.00,Pre-NtO Discount,Albert Hill Street,DidsburyEast,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 11:36,-£35.00,Pre-NtO Discount,Ancoats Grove,Anc & Besw,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 11:41,-£105.00,Post CC,Shudehill (City Centre),Piccadilly,Postal-vehicle drive away,GV Loading Bay,£0.00,23
01/05/2020 11:46,-£25.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/05/2020 11:54,-£35.00,Pre-NtO Discount,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
01/05/2020 11:55,-£25.00,Pre-NtO Discount,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/05/2020 12:09,-£35.00,Pre-NtO Discount,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 12:12,-£70.00,Post NtO,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
01/05/2020 12:15,-£35.00,Pre-NtO Discount,Langley Road,Fallowfield,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 12:19,-£35.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
01/05/2020 12:27,£0.00,Post CC,Cateaton Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£105.00,1
01/05/2020 12:39,-£35.00,Pre-NtO Discount,Booth Street East,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 12:39,-£35.00,Pre-NtO Discount,Booth Street East,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 12:39,-£35.00,Post NtO,Cheetham Hill Road,Cheetham,Postal-vehicle drive away,Restricted Area,£0.00,26
01/05/2020 12:41,-£70.00,Pre-NtO Full Rate,Cromwell Grove,Levenshulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 12:42,£0.00,Post CC,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,Disabled Persons Parking Place,£105.00,40
01/05/2020 12:44,-£35.00,Pre-NtO Discount,Cardus Street,Levenshulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2020 12:45,-£35.00,Pre-NtO Discount,Cromwell Grove,Levenshulme,Handed To Driver,No Waiting,£0.00,1
01/05/2020 12:48,-£35.00,Pre-NtO Discount,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,23
01/05/2020 12:48,-£35.00,Pre-NtO Discount,Rosamond Street West,Hulme,Affixed to vehicle,Gv Loading Bay,£0.00,23
01/05/2020 12:56,-£35.00,Pre-NtO Discount,BOUNDARY STREET WEST,Hulme,Affixed to vehicle,No Waiting,£0.00,26
01/05/2020 12:58,£0.00,Post NtO,Edge Street (City Centre),Piccadilly,Affixed to vehicle,Disabled Persons Parking Place,£70.00,40
01/05/2020 13:13,-£35.00,Pre-NtO Discount,Portland Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,25
01/05/2020 13:13,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
01/05/2020 13:13,-£35.00,Pre-NtO Discount,Sidney Street,Hulme,Affixed to vehicle,Gv Loading Bay,£0.00,23
01/05/2020 13:19,-£70.00,Post NtO,Rosamond Street West,Hulme,Affixed to vehicle,Gv Loading Bay,£0.00,25
01/05/2020 13:24,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
01/05/2020 13:36,-£35.00,Pre-NtO Discount,Portsmouth Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 13:47,£0.00,Cancelled,Denmark Road (Hulme),Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 13:53,-£35.00,Post NtO,Jury Street,Cheetham,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
01/05/2020 13:53,-£35.00,Post NtO,Jury Street,Cheetham,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
01/05/2020 14:09,-£35.00,Pre-NtO Discount,Crown Lane,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
01/05/2020 14:10,-£70.00,Post NtO,Crown Lane,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
01/05/2020 14:15,-£35.00,Pre-NtO Discount,Crown Lane,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
01/05/2020 14:18,-£70.00,Pre-NtO Discount,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 14:27,-£35.00,Pre-NtO Discount,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 14:28,-£35.00,Pre-NtO Discount,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/05/2020 14:48,£0.00,Post CC,Devonshire Street North,Ardwick,Affixed to vehicle,No Waiting At Any Time,£105.00,1
01/05/2020 14:52,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
01/05/2020 15:04,-£35.00,Pre-NtO Discount,DURANT STREET,Central,Affixed to vehicle,Restricted Area,£0.00,1
