Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
01/05/2021 00:04,-£35.00,Pre-NtO Discount,DOVER STREET,Ardwick,Affixed to vehicle,Taxi Stand,£0.00,45
01/05/2021 00:22,£0.00,Pre-NtO Full Rate,Fernie Street,Cheetham,Affixed to vehicle,No Loading At Any Time,£70.00,2
01/05/2021 00:22,-£35.00,Pre-NtO Discount,Hardman Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2021 00:37,£0.00,Pre-NtO Full Rate,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 00:43,£30.00,Cancelled,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 00:57,£30.00,Cancelled,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 01:23,£0.00,Pre-NtO Full Rate,Grosvenor Street (Ardwick),Ardwick,Affixed to vehicle,Restricted Area,£70.00,23
01/05/2021 01:31,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
01/05/2021 01:41,£0.00,Pre-NtO Full Rate,Oxford Road (Ardwick),Ardwick,Handed To Driver,No Loading at Any Time,£70.00,2
01/05/2021 01:45,-£70.00,Pre-NtO Full Rate,DOVER STREET,Ardwick,Affixed to vehicle,Taxi Stand,£0.00,45
01/05/2021 01:55,£30.00,Cancelled,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 02:04,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 02:28,-£35.00,Pre-NtO Discount,Blantyre Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,27
01/05/2021 02:40,-£35.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2021 02:54,£0.00,Pre-NtO Full Rate,LONGWORTH STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£70.00,1
01/05/2021 03:21,£30.00,Cancelled,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 03:25,£0.00,Pre-NtO Full Rate,Spear Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£70.00,1
01/05/2021 03:34,£0.00,Pre-NtO Full Rate,Dalberg Street,Ardwick,Affixed to vehicle,No Waiting At Any Time,£70.00,27
01/05/2021 04:18,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/05/2021 04:54,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/05/2021 05:22,-£35.00,Pre-NtO Discount,Tatton Street,Hulme,Affixed to vehicle,Restricted Area,£0.00,27
01/05/2021 05:24,£0.00,Pre-NtO Full Rate,Princess Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£70.00,27
01/05/2021 06:23,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 06:42,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/05/2021 06:43,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 07:06,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/05/2021 07:06,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/05/2021 07:21,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 07:32,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/05/2021 07:43,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
