Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/11/2020 00:45,0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/11/2020 00:45,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 00:47,0.00,Pre-NtO Full Rate,Well Street,Piccadilly,Postal-vehicle drive away,Taxi Clearway,œ0.00,45
01/11/2020 00:48,0.00,Pre-NtO Full Rate,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,œ70.00,45
01/11/2020 00:48,-35.00,Pre-NtO Discount,Water Street,Harpurhey,Affixed to vehicle,Restricted Area,œ0.00,1
01/11/2020 00:49,-35.00,Pre-NtO Discount,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,œ0.00,45
01/11/2020 00:51,-35.00,Pre-NtO Discount,Water Street,Harpurhey,Affixed to vehicle,Restricted Area,œ0.00,1
01/11/2020 00:55,0.00,Pre-NtO Full Rate,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,œ70.00,45
01/11/2020 01:10,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:12,-35.00,Pre-NtO Discount,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 01:14,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:16,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:16,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:18,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 01:20,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:21,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:22,0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/11/2020 01:25,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:26,0.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 01:32,-30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 01:37,-35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,œ0.00,27
01/11/2020 01:42,-35.00,Pre-NtO Discount,Moorway Drive,Charlestown,Affixed to vehicle,Restricted Area,œ0.00,40
01/11/2020 01:43,-35.00,Pre-NtO Discount,Moorway Drive,Charlestown,Affixed to vehicle,Restricted Area,œ0.00,26
01/11/2020 01:45,-35.00,Pre-NtO Discount,Moorway Drive,Charlestown,Affixed to vehicle,Restricted Area,œ0.00,1
01/11/2020 01:59,0.00,Pre-NtO Full Rate,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,œ70.00,45
01/11/2020 02:06,0.00,Pre-NtO Full Rate,Broadmoss Drive,Charlestown,Affixed to vehicle,Restricted Area,œ70.00,40
01/11/2020 02:09,-35.00,Pre-NtO Discount,BRICK STREET,NorthQuarter,Affixed to vehicle,Disabled Persons Parking Place,œ0.00,40
01/11/2020 02:25,0.00,Pre-NtO Full Rate,Pollard Street,Anc & Besw,Affixed to vehicle,No Waiting,œ70.00,47
01/11/2020 02:25,0.00,Pre-NtO Full Rate,Pollard Street,Anc & Besw,Affixed to vehicle,No Waiting,œ70.00,47
01/11/2020 02:25,0.00,Pre-NtO Full Rate,Coldstream Avenue,H Blackley,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 02:41,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 02:44,-35.00,Pre-NtO Discount,Bond Street,Piccadilly,Affixed to vehicle,Restricted Area,œ0.00,1
01/11/2020 02:47,0.00,Pre-NtO Full Rate,Bond Street,Piccadilly,Affixed to vehicle,Restricted Area,œ70.00,1
01/11/2020 02:53,-35.00,Pre-NtO Discount,Hallworth Road,Crumpsall,Affixed to vehicle,Restricted Area,œ0.00,1
01/11/2020 02:55,0.00,Pre-NtO Full Rate,Liverpool Road,Deansgate,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 03:10,-35.00,Pre-NtO Discount,Mill Street,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 03:12,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 03:17,-35.00,Pre-NtO Discount,Wilson Street,Clayt & Open,Affixed to vehicle,Restricted Area,œ0.00,27
01/11/2020 03:44,-25.00,Pre-NtO Discount,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,œ0.00,83
01/11/2020 03:48,-25.00,Pre-NtO Discount,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,œ0.00,83
01/11/2020 03:51,0.00,Pre-NtO Full Rate,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,œ50.00,83
01/11/2020 04:06,-35.00,Pre-NtO Discount,Moss Lane East (Rusholme),Moss Side,Affixed to vehicle,Restricted Street,œ0.00,1
01/11/2020 04:40,0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ60.00,34
01/11/2020 05:26,-35.00,Pre-NtO Discount,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,œ0.00,45
01/11/2020 05:37,-35.00,Pre-NtO Discount,Whitstable Road,Charlestown,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 05:37,0.00,Cancelled,Whitstable Road,Charlestown,Spoil,No Waiting At Any Time,œ0.00,1
01/11/2020 05:57,0.00,Pre-NtO Full Rate,Charlestown Road,Charlestown,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 06:05,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 06:05,-30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 06:07,-30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 06:17,-30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 07:12,-30.00,Post NtO,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,œ0.00,34
01/11/2020 07:23,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 07:32,0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ30.00,34
01/11/2020 07:49,-30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 07:58,-35.00,Pre-NtO Discount,Great Marlborough Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,œ0.00,40
01/11/2020 08:09,0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:11,0.00,Pre-NtO Full Rate,Major Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 08:12,0.00,Pre-NtO Full Rate,Lower Ormond Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 08:14,-25.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 08:15,-25.00,Pre-NtO Discount,Major Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,24
01/11/2020 08:15,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:17,-25.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:19,-30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:20,-140.00,Pre-NtO Discount,Stockland Close,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ0.00,27
01/11/2020 08:21,-50.00,Pre-NtO Full Rate,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:22,-140.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,œ0.00,27
01/11/2020 08:22,-70.00,Pre-NtO Discount,Stockland Close,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 08:23,-35.00,Pre-NtO Discount,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 08:23,-50.00,Pre-NtO Full Rate,Dale Street (City Centre),Piccadilly,Affixed to vehicle,Restricted Area,œ0.00,6
01/11/2020 08:23,0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,5
01/11/2020 08:24,0.00,Pre-NtO Full Rate,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 08:25,0.00,Cancelled,Hulme Street (City Centre : CENTRAL),Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:27,-30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:28,0.00,Pre-NtO Full Rate,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,œ70.00,1
01/11/2020 08:29,-25.00,Pre-NtO Discount,Hulme Street (City Centre : CENTRAL),Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:33,-140.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,œ0.00,1
01/11/2020 08:33,-35.00,Pre-NtO Full Rate,Fog Lane (Burnage),Burnage,Affixed to vehicle,No Waiting At Any Time,œ0.00,27
01/11/2020 08:36,-25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 08:36,0.00,Pre-NtO Full Rate,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 08:36,-140.00,Pre-NtO Discount,Greenheys Lane,Hulme,Affixed to vehicle,Bus Stand,œ0.00,47
01/11/2020 08:38,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
