Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/09/2020  00:04,£0.00,Post CC,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£105.00,2
01/09/2020  00:04,£0.00,Cancelled,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£0.00,2
01/09/2020  00:14,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  00:16,£0.00,NoDR,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£98.00,34
01/09/2020  00:19,£0.00,Cancelled,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  00:33,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  01:05,£0.00,Post CC,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£90.00,34
01/09/2020  01:36,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  02:33,£0.00,Post CC,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/09/2020  03:07,£0.00,Post CC,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/09/2020  03:14,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  04:03,-£30.00,Post CC,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  04:27,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  05:31,£0.00,Post CC,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/09/2020  06:06,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  06:17,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  06:23,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  06:29,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/09/2020  06:36,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
